"Address","Price_Euro"
"Achter Raadhoven 50","1495000"
"Antilopespoor 117","245000"
"Antilopespoor 125","239000"
"Antilopespoor 279","250000"
"Antilopespoor 415","219500"
"Antilopespoor 55","285000"
"Bachplein 14","595000"
"Binnenweg 14","1425000"
"Bloemstede 278","398500"
"Bloemstede 389","379000"
"Boomstede 100","400000"
"Boomstede 114","425000"
"Boomstede 133","425000"
"Boomstede 476","390000"
"Boomstede 665","350000"
"Brederostraat 5","495000"
"Buitenweg 332","475000"
"Buitenweg 332 *","475000"
"Burgemeester Strick van Linschotenstraat 12","335000"
"Colijnstraat 13","598000"
"De Hoopkade 55","920000"
"De Savornin Lohmanstraat 14","565000"
"Doornhoecklaan 2","820000"
"Doornhoecklaan 33","789000"
"Duivenkamp 193","380000"
"Duivenkamp 322","369500"
"Duivenkamp 401","385000"
"Duivenkamp 757","475000"
"Duivenkamp 79","325000"
"Dwarsweg 1 b","369000"
"Emmaweg 1","1749000"
"Emmaweg 47","695000"
"Fazantenkamp 365","445000"
"Fazantenkamp 417","569000"
"Fazantenkamp 50","399000"
"Fazantenkamp 732","419000"
"Fazantenkamp 850","399000"
"Fazantenkamp 925","395000"
"Gaslaan 8","695000"
"Harmonieplein 71","310000"
"Herenweg 11","625000"
"Herenweg 7 A","1750000"
"Herenweg 9","625000"
"J. Homan van der Heideplein 70","529000"
"J. Homan van der Heideplein 72","525000"
"J. de Regtstraat 6","849000"
"Jacob van Heemskerklaan 48","579000"
"Kaatsbaan 11","379000"
"Kamelenspoor 321","450000"
"Kamelenspoor 395","375000"
"Kamelenspoor 448","325000"
"Kamelenspoor 459","398000"
"Kanaalstraat 17","449000"
"Klokjeslaan 63","489000"
"Klokjeslaan 76","475000"
"L. Rotgansstraat 51","349500"
"Langegracht 13","695000"
"Leeuwenhof 4","489000"
"Meindert Hobbemastraat 39","325000"
"Michiel Adriaanszoon de Ruyterstraat 12 *","175000"
"Mozartlaan 7","625000"
"Nicolaas Basterthof 2","945000"
"Nicolaas Maesstraat 78","287500"
"Nicolaas Maesstraat 84","275000"
"Parkweg 42","570000"
"Pauwenkamp 162","425000"
"Pauwenkamp 302","387500"
"Piet Heinstraat 116","310000"
"Piet Heinstraat 34","175000"
"Proostwetering 170","649000"
"Ranstplein 5","449500"
"Reigerskamp 186","495000"
"Reigerskamp 315","350000"
"Reigerskamp 503","259000"
"Reigerskamp 666","375000"
"Reigerskamp 809","485000"
"Safariweg 212","350000"
"Safariweg 344","429000"
"Schaepmanstraat 46","350000"
"Schippersgracht 11","1250000"
"Straatweg 108","549500"
"Straatweg 120","979000"
"Straatweg 54","595000"
"Straatweg 92","398000"
"Termeerweg 1 c","469000"
"Tesselschadestraat 5","425000"
"Valkenkamp 252","410000"
"Valkenkamp 492","409000"
"Valkenkamp 676","575000"
"Valkenkamp 695","399000"
"Valkenkamp 751","495000"
"Valkenkamp 774","598000"
"Valkenkamp 777","465000"
"Vechtensteinlaan 5","665000"
"Veenkade 16","2250000"
"Veenkade 5","1395000"
"Verdilaan 11","759000"
"Verlengde Molenweg 15","1160000"
"Verlengde Molenweg 5","825000"
"Waterstede 106","635000"
"Waterstede 127","629000"
"Zandweg 39","1699500"
"Zebraspoor 165","395000"
"Zebraspoor 442","379000"
"Zebraspoor 582","385000"
"Zwanenkamp 175","375000"
"Zwanenkamp 288","580000"
"Zwanenkamp 863","400000"
"Zwanenkamp 902","489000"
"Zwanenkamp 932","399000"
